"","V1","V2","V3","V4","V5","V6"
"350",2380,30,0.9375,1,0.692307692307692,0.801222841635236
"351",2380,100,0.921875,1,0.615384615384615,0.748625113417631
"352",2390,0.01,0.796875,1,0,NA
"353",2390,0.03,0.796875,1,0,NA
"354",2390,0.1,0.796875,1,0,NA
"355",2390,0.3,0.796875,1,0,NA
"356",2390,1,0.859375,1,0.307692307692308,0.511408311956759
"357",2390,3,0.9375,1,0.692307692307692,0.801222841635236
"358",2390,10,0.9375,1,0.692307692307692,0.801222841635236
"359",2390,30,0.9375,1,0.692307692307692,0.801222841635236
"360",2390,100,0.9375,1,0.692307692307692,0.801222841635236
"361",2400,0.01,0.796875,1,0,NA
"362",2400,0.03,0.796875,1,0,NA
"363",2400,0.1,0.796875,1,0,NA
"364",2400,0.3,0.796875,1,0,NA
"365",2400,1,0.859375,1,0.307692307692308,0.511408311956759
"366",2400,3,0.9375,1,0.692307692307692,0.801222841635236
"367",2400,10,0.9375,1,0.692307692307692,0.801222841635236
"368",2400,30,0.9375,1,0.692307692307692,0.801222841635236
"369",2400,100,0.921875,1,0.615384615384615,0.748625113417631
"370",2410,0.01,0.796875,1,0,NA
"371",2410,0.03,0.796875,1,0,NA
"372",2410,0.1,0.796875,1,0,NA
"373",2410,0.3,0.796875,1,0,NA
"374",2410,1,0.859375,1,0.307692307692308,0.511408311956759
"375",2410,3,0.9375,1,0.692307692307692,0.801222841635236
"376",2410,10,0.9375,1,0.692307692307692,0.801222841635236
"377",2410,30,0.9375,1,0.692307692307692,0.801222841635236
"378",2410,100,0.921875,1,0.615384615384615,0.748625113417631
"379",2420,0.01,0.796875,1,0,NA
"380",2420,0.03,0.796875,1,0,NA
"381",2420,0.1,0.796875,1,0,NA
"382",2420,0.3,0.796875,1,0,NA
"383",2420,1,0.859375,1,0.307692307692308,0.511408311956759
"384",2420,3,0.9375,1,0.692307692307692,0.801222841635236
"385",2420,10,0.9375,1,0.692307692307692,0.801222841635236
"386",2420,30,0.9375,1,0.692307692307692,0.801222841635236
"387",2420,100,0.921875,1,0.615384615384615,0.748625113417631
"388",2430,0.01,0.796875,1,0,NA
